Transaction ID,Transaction Price,datetime_column
13445,14.31,2018-03-01
16367,14.31,2018-03-01
1047,14.52,2018-03-01
16254,14.52,2018-03-01
2144,14.52,2018-03-01
3709,14.52,2018-03-01
4014,14.52,2018-03-01
7069,14.52,2018-03-01
7744,14.52,2018-03-01
8273,14.52,2018-03-01
9436,14.52,2018-03-01
11450,14.52,2018-03-01
13147,14.52,2018-03-01
13246,14.52,2018-03-01
13892,14.52,2018-03-01
14258,14.52,2018-03-01
16967,14.52,2018-03-01
17252,14.52,2018-03-01
227,14.52,2018-03-01
3932,14.52,2018-03-01
13418,14.52,2018-03-01
2254,14.58,2018-03-01
2901,14.58,2018-03-01
4928,14.58,2018-03-01
7306,14.58,2018-03-01
7839,14.58,2018-03-01
10480,14.58,2018-03-01
12019,14.58,2018-03-01
13290,14.58,2018-03-01
14779,14.58,2018-03-01
196,14.58,2018-03-01
702,14.58,2018-03-01
1687,14.58,2018-03-01
2936,14.58,2018-03-01
4234,14.58,2018-03-01
5788,14.58,2018-03-01
5791,14.58,2018-03-01
6135,14.58,2018-03-01
11204,14.58,2018-03-01
13051,14.58,2018-03-01
16546,14.58,2018-03-01
2071,14.58,2018-03-01
4271,14.58,2018-03-01
6620,14.58,2018-03-01
12698,14.58,2018-03-01
17266,14.58,2018-03-01
349,14.58,2018-03-01
372,14.58,2018-03-01
2457,14.58,2018-03-01
3918,14.58,2018-03-01
5054,14.58,2018-03-01
6140,14.58,2018-03-01
11323,14.58,2018-03-01
11847,14.58,2018-03-01
12040,14.58,2018-03-01
13553,14.58,2018-03-01
13896,14.58,2018-03-01
15355,14.58,2018-03-01
15698,14.58,2018-03-01
16504,14.58,2018-03-01
17305,14.58,2018-03-01
276,14.58,2018-03-01
1842,14.58,2018-03-01
2642,14.58,2018-03-01
2643,14.58,2018-03-01
4067,14.58,2018-03-01
7025,14.58,2018-03-01
9991,14.58,2018-03-01
11429,14.58,2018-03-01
12510,14.58,2018-03-01
13869,14.58,2018-03-01
15632,14.58,2018-03-01
16241,14.58,2018-03-01
2791,14.58,2018-03-01
5590,14.58,2018-03-01
13594,14.58,2018-03-01
1201,14.58,2018-03-01
2187,14.58,2018-03-01
12156,14.62,2018-03-01
3885,14.89,2018-03-01
4168,14.89,2018-03-01
1828,14.89,2018-03-01
3734,15.08,2018-03-01
7158,15.08,2018-03-01
7794,15.08,2018-03-01
15618,15.08,2018-03-01
16138,15.08,2018-03-01
713,15.08,2018-03-01
1656,15.08,2018-03-01
2683,15.08,2018-03-01
5468,15.08,2018-03-01
7592,15.08,2018-03-01
9712,15.08,2018-03-01
16182,15.08,2018-03-01
8125,15.08,2018-03-01
16053,15.16,2018-03-01
363,15.16,2018-03-01
1712,15.16,2018-03-01
6229,15.16,2018-03-01
12667,15.16,2018-03-01
8166,15.16,2018-03-01
407,15.28,2018-03-01
12452,15.28,2018-03-01
4706,15.28,2018-03-01
7093,15.28,2018-03-01
11163,15.28,2018-03-01
12690,15.28,2018-03-01
3732,15.28,2018-03-01
16117,15.28,2018-03-01
1751,15.28,2018-03-01
9388,15.31,2018-03-01
12038,15.31,2018-03-01
8616,15.32,2018-03-01
15619,15.45,2018-03-01
14251,15.76,2018-03-01
14296,15.76,2018-03-01
12630,16.11,2018-03-01
10733,16.11,2018-03-01
13395,16.11,2018-03-01
545,16.11,2018-03-01
872,16.11,2018-03-01
